iter	Passed	Remaining
970	4671	2544
971	4674	2539
972	4678	2533
973	4682	2528
974	4686	2523
975	4689	2517
976	4693	2512
977	4697	2507
978	4701	2502
979	4705	2496
980	4708	2491
981	4712	2485
982	4716	2480
983	4720	2475
984	4724	2470
985	4729	2465
986	4732	2459
987	4735	2454
988	4739	2448
989	4743	2443
990	4747	2438
991	4752	2433
992	4756	2428
993	4760	2423
994	4764	2417
995	4766	2412
996	4770	2406
997	4773	2401
998	4777	2396
999	4781	2390
1000	4785	2385
1001	4789	2380
1002	4793	2375
1003	4796	2369
1004	4801	2364
1005	4805	2359
1006	4810	2355
1007	4814	2349
1008	4818	2344
1009	4822	2339
1010	4828	2335
1011	4832	2330
1012	4836	2325
1013	4841	2320
1014	4847	2316
1015	4852	2311
1016	4855	2306
1017	4859	2301
1018	4863	2295
1019	4868	2290
1020	4872	2286
1021	4876	2281
1022	4880	2275
1023	4885	2271
1024	4889	2265
1025	4893	2260
1026	4896	2254
1027	4900	2249
1028	4904	2245
1029	4932	2250
1030	4946	2249
1031	4967	2252
1032	4985	2253
1033	5001	2253
1034	5035	2262
1035	5068	2270
1036	5082	2269
1037	5096	2268
1038	5110	2267
1039	5127	2267
1040	5133	2263
1041	5137	2258
1042	5141	2253
1043	5146	2247
1044	5157	2245
1045	5165	2241
1046	5172	2238
1047	5204	2244
1048	5219	2243
1049	5231	2242
1050	5237	2237
1051	5242	2232
1052	5248	2227
1053	5252	2222
1054	5258	2217
1055	5261	2212
1056	5265	2206
1057	5270	2201
1058	5275	2196
1059	5279	2191
1060	5283	2186
1061	5287	2180
1062	5292	2175
1063	5301	2172
1064	5305	2167
1065	5310	2161
1066	5314	2156
1067	5318	2151
1068	5322	2145
1069	5326	2140
1070	5340	2139
1071	5344	2133
1072	5348	2128
1073	5352	2123
1074	5357	2118
1075	5361	2112
1076	5365	2107
1077	5371	2102
1078	5375	2097
1079	5380	2092
1080	5383	2086
1081	5387	2081
1082	5391	2076
1083	5396	2070
1084	5399	2065
1085	5404	2060
1086	5409	2055
1087	5414	2050
1088	5426	2047
1089	5433	2043
1090	5436	2038
1091	5441	2032
1092	5444	2027
1093	5449	2022
1094	5458	2018
1095	5462	2013
1096	5476	2011
1097	5490	2010
1098	5503	2008
1099	5522	2008
1100	5538	2007
1101	5557	2007
1102	5561	2001
1103	5565	1996
1104	5568	1990
1105	5572	1985
1106	5576	1979
1107	5579	1974
1108	5583	1968
1109	5589	1963
1110	5593	1958
1111	5605	1955
1112	5610	1950
1113	5614	1945
1114	5619	1940
1115	5623	1935
1116	5627	1929
1117	5631	1924
1118	5635	1918
1119	5639	1913
1120	5647	1909
1121	5656	1905
1122	5661	1900
1123	5666	1895
1124	5670	1890
1125	5676	1885
1126	5680	1880
1127	5694	1878
1128	5712	1877
1129	5726	1875
1130	5742	1873
1131	5756	1871
1132	5771	1869
1133	5783	1866
1134	5787	1861
1135	5804	1859
1136	5820	1858
1137	5829	1854
1138	5833	1848
1139	5845	1845
1140	5857	1842
1141	5861	1837
1142	5865	1831
1143	5869	1826
1144	5873	1821
1145	5877	1815
1146	5881	1810
1147	5886	1804
1148	5890	1799
1149	5894	1793
1150	5898	1788
1151	5902	1783
1152	5907	1777
1153	5912	1772
1154	5917	1767
1155	5921	1762
1156	5925	1756
1157	5928	1751
1158	5938	1747
1159	5945	1742
1160	5948	1736
1161	5952	1731
1162	5957	1726
1163	5960	1720
1164	5965	1715
1165	5969	1710
1166	5974	1704
1167	5979	1699
1168	5984	1694
1169	5993	1690
1170	5997	1685
1171	6007	1681
1172	6012	1676
1173	6016	1670
1174	6019	1665
1175	6025	1660
1176	6029	1654
1177	6046	1652
1178	6060	1650
1179	6074	1647
1180	6088	1644
1181	6098	1640
1182	6110	1637
1183	6122	1634
1184	6126	1628
1185	6131	1623
1186	6135	1617
1187	6139	1612
1188	6143	1606
1189	6147	1601
1190	6151	1596
1191	6155	1590
1192	6160	1585
1193	6164	1579
1194	6168	1574
1195	6172	1569
1196	6176	1563
1197	6181	1558
1198	6184	1552
1199	6189	1547
1200	6192	1541
1201	6197	1536
1202	6201	1531
1203	6205	1525
1204	6210	1520
1205	6214	1514
1206	6218	1509
1207	6222	1504
1208	6227	1498
1209	6230	1493
1210	6233	1487
1211	6238	1482
1212	6242	1477
1213	6247	1471
1214	6255	1467
1215	6259	1461
1216	6265	1456
1217	6269	1451
1218	6278	1447
1219	6291	1443
1220	6298	1439
1221	6302	1433
1222	6308	1428
1223	6318	1424
1224	6323	1419
1225	6328	1414
1226	6332	1408
1227	6336	1403
1228	6341	1398
1229	6345	1392
1230	6349	1387
1231	6353	1382
1232	6358	1376
1233	6370	1373
1234	6383	1369
1235	6396	1366
1236	6410	1362
1237	6422	1359
1238	6437	1356
1239	6464	1355
1240	6468	1349
1241	6473	1344
1242	6478	1339
1243	6482	1334
1244	6486	1328
1245	6489	1322
1246	6493	1317
1247	6497	1312
1248	6501	1306
1249	6506	1301
1250	6509	1295
1251	6514	1290
1252	6519	1285
1253	6524	1279
1254	6528	1274
1255	6532	1269
1256	6537	1263
1257	6540	1258
1258	6548	1253
1259	6552	1248
1260	6566	1244
1261	6571	1239
1262	6578	1234
1263	6583	1229
1264	6586	1223
1265	6590	1218
1266	6594	1212
1267	6599	1207
1268	6604	1202
1269	6607	1196
1270	6612	1191
1271	6616	1186
1272	6621	1180
1273	6626	1175
1274	6629	1169
1275	6634	1164
1276	6639	1159
1277	6643	1154
1278	6648	1148
1279	6652	1143
1280	6656	1137
1281	6662	1132
1282	6666	1127
1283	6670	1122
1284	6673	1116
1285	6678	1111
1286	6682	1106
1287	6687	1100
1288	6690	1095
1289	6694	1089
1290	6698	1084
1291	6703	1079
1292	6707	1073
1293	6712	1068
1294	6716	1063
1295	6720	1057
1296	6723	1052
1297	6728	1047
1298	6731	1041
1299	6743	1037
1300	6748	1032
1301	6752	1026
1302	6757	1021
1303	6761	1016
1304	6765	1010
1305	6769	1005
1306	6773	1000
1307	6777	994
1308	6781	989
1309	6784	984
1310	6789	978
1311	6793	973
1312	6797	968
1313	6801	962
1314	6804	957
1315	6823	954
1316	6827	948
1317	6830	943
1318	6834	937
1319	6838	932
1320	6847	927
1321	6851	922
1322	6855	917
1323	6859	911
